,open,high,low,close,volume
2014-11-04 15:00:00,843.34,843.34,835.61,839.48,251002.0
2014-11-05 09:45:00,839.48,846.44,834.06,835.61,189025.0
2014-11-05 10:00:00,836.38,839.48,827.1,830.19,172069.0
2014-11-05 10:15:00,830.19,831.74,827.1,828.64,132768.0
2014-11-05 10:30:00,828.64,832.51,828.64,828.64,86686.0
2014-11-05 10:45:00,827.87,830.19,825.55,826.32,134540.0
2014-11-05 11:00:00,827.1,830.96,825.55,830.19,68894.0
2014-11-05 11:15:00,830.96,830.96,827.1,828.64,73809.0
2014-11-05 11:30:00,828.64,828.64,824.77,827.1,105498.0
2014-11-05 13:15:00,827.1,828.64,826.32,827.87,45917.0
2014-11-05 13:30:00,827.87,834.83,827.87,834.06,81814.0
2014-11-05 13:45:00,834.06,834.83,831.74,833.29,39549.0
2014-11-05 14:00:00,833.29,835.61,831.74,831.74,57191.0
2014-11-05 14:15:00,832.51,844.89,831.74,842.57,223347.0
2014-11-05 14:30:00,843.34,843.34,840.25,841.8,62982.0
2014-11-05 14:45:00,841.8,846.44,840.25,841.02,110302.0
2014-11-05 15:00:00,841.8,841.8,833.29,837.15,77573.0
2014-11-06 09:45:00,837.15,839.48,832.51,837.15,74561.0
2014-11-06 10:00:00,837.93,843.34,836.38,841.02,99953.0
2014-11-06 10:15:00,840.25,842.57,836.38,841.8,63935.0
2014-11-06 10:30:00,841.8,842.57,837.15,841.02,29336.0
2014-11-06 10:45:00,841.8,842.57,835.61,837.15,60163.0
2014-11-06 11:00:00,837.15,838.7,833.29,836.38,49225.0
2014-11-06 11:15:00,836.38,838.7,832.51,832.51,52317.0
2014-11-06 11:30:00,833.29,835.61,832.51,832.51,32320.0
2014-11-06 13:15:00,833.29,837.15,830.96,835.61,42318.0
2014-11-06 13:30:00,836.38,836.38,830.96,831.74,43813.0
2014-11-06 13:45:00,832.51,835.61,830.96,834.06,44439.0
2014-11-06 14:00:00,834.06,837.15,833.29,835.61,40811.0
2014-11-06 14:15:00,835.61,837.93,833.29,833.29,58864.0
2014-11-06 14:30:00,834.06,838.7,834.06,837.93,41651.0
2014-11-06 14:45:00,837.93,837.93,835.61,836.38,39490.0
2014-11-06 15:00:00,835.61,838.7,835.61,838.7,60609.0
2014-11-07 09:45:00,836.38,841.02,834.06,837.15,102473.0
2014-11-07 10:00:00,837.15,837.15,833.29,835.61,107694.0
2014-11-07 10:15:00,835.61,839.48,835.61,836.38,103406.0
2014-11-07 10:30:00,836.38,846.44,835.61,845.67,151687.0
2014-11-07 10:45:00,844.89,847.99,843.34,847.99,179754.0
2014-11-07 11:00:00,847.99,857.27,847.21,848.76,244307.0
2014-11-07 11:15:00,848.76,851.85,846.44,851.08,91109.0
2014-11-07 11:30:00,851.08,854.18,849.53,851.85,140048.0
2014-11-07 13:15:00,851.85,872.74,851.85,868.88,509000.0
2014-11-07 13:30:00,866.56,880.48,865.01,868.88,486517.0
2014-11-07 13:45:00,868.1,868.88,861.14,861.14,140956.0
2014-11-07 14:00:00,861.14,862.69,853.4,859.59,166016.0
2014-11-07 14:15:00,859.59,859.59,845.67,847.99,177577.0
2014-11-07 14:30:00,847.99,856.5,847.21,847.21,84134.0
2014-11-07 14:45:00,847.21,847.99,840.25,844.89,112698.0
2014-11-07 15:00:00,844.89,846.44,843.34,844.12,90482.0
2014-11-10 09:45:00,854.95,869.65,847.21,850.31,572458.0
2014-11-10 10:00:00,851.08,856.5,849.53,852.63,157884.0
2014-11-10 10:15:00,853.4,853.4,847.21,850.31,141289.0
2014-11-10 10:30:00,848.76,850.31,844.89,848.76,99956.0
2014-11-10 10:45:00,848.76,853.4,848.76,852.63,65385.0
2014-11-10 11:00:00,853.4,854.18,849.53,850.31,61747.0
2014-11-10 11:15:00,850.31,851.08,840.25,843.34,119080.0
2014-11-10 11:30:00,843.34,847.21,843.34,846.44,33075.0
2014-11-10 13:15:00,847.21,847.99,845.67,847.21,59298.0
2014-11-10 13:30:00,846.44,850.31,846.44,850.31,91778.0
2014-11-10 13:45:00,849.53,851.85,848.76,849.53,51995.0
2014-11-10 14:00:00,849.53,855.72,849.53,851.85,81381.0
2014-11-10 14:15:00,851.08,855.72,851.08,853.4,86757.0
2014-11-10 14:30:00,853.4,865.78,851.85,864.23,148788.0
2014-11-10 14:45:00,863.46,864.23,857.27,859.59,166973.0
2014-11-10 15:00:00,859.59,863.46,858.82,861.91,157707.0
2014-11-11 09:45:00,859.59,883.58,858.04,873.52,536609.0
2014-11-11 10:00:00,872.74,880.48,871.97,876.61,291301.0
2014-11-11 10:15:00,877.39,893.64,875.84,892.09,558734.0
2014-11-11 10:30:00,890.54,892.09,868.88,871.97,274815.0
2014-11-11 10:45:00,871.2,879.71,870.42,873.52,148729.0
2014-11-11 11:00:00,874.29,887.45,871.2,885.9,126220.0
2014-11-11 11:15:00,884.35,889.77,880.48,885.9,182979.0
2014-11-11 11:30:00,885.9,900.6,885.12,896.73,446984.0
2014-11-11 13:15:00,896.73,897.5,885.9,885.9,187698.0
2014-11-11 13:30:00,885.9,886.67,866.56,879.71,252094.0
2014-11-11 13:45:00,878.93,882.03,871.2,873.52,119671.0
2014-11-11 14:00:00,872.74,878.16,857.27,868.1,175114.0
2014-11-11 14:15:00,868.1,870.42,858.82,859.59,179868.0
2014-11-11 14:30:00,859.59,875.07,859.59,869.65,118405.0
